experiment_3(4000, 4, 51, 5000, 1000, 3456789012, [1000, 1333, 2000, 4000, 8000, 12000, 16000])...
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=19
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=39
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=36
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=12
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=11
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=30
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=14
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=20
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=30
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=22
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=11
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=18
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=22
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=19
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=9
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=13
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=6
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=35
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=21
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=24
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=20
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=12
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=30
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=18
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=37
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=23
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=12
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=20
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=11
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=12
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=39
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=9
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=16
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=15
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=17
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=13
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=13
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=13
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=17
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=30
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=30
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=20
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=9
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=18
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=41
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=19
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=17
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=19
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=19
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=24
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=22
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=17
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=20
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=12
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=22
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=15
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=21
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=11
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=17
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=22
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=39
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=17
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=30
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=14
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=35
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=12
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=16
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=18
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=12
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=17
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=16
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=18
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=11
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=18
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=35
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=11
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=23
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=13
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=21
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=39
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=12
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=21
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=26
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=14
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=14
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=33
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=9
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=19
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=17
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=20
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=16
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=7
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=18
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=16
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=14
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=20
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=13
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=13
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=18
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=13
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=17
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=21
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=21
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=19
N=4000, F=1/4, f=1/2, m=2000, r=51, fails=15
N=4000, F=1/4, f=1/2, m=4000, r=51, fails=23
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=12000, r=51, fails=27
N=4000, F=1/4, f=1/2, m=16000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=1000, r=51, fails=12
N=4000, F=1/4, f=1/2, m=1333, r=51, fails=15
